category_class	txgnn	medical_specialization	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_QALY_lost
MONDO:0017545	metabolic_disorder | genetic disorder	genetics_and_genomics | orthopaedic	bone_disorder|joint_disorder	False	False	False	FALSE	MEDIUM
MONDO:0017544	metabolic_disorder|neurodegenerative_disease|autoimmune_diseases	genetics_and_genomics | orthopaedic	bone_disorder|joint_disorder	False	False	False	FALSE	MEDIUM
MONDO:0017543	autoimmune_diseases | inflammatory_disease | anemia	genetics_and_genomics | orthopaedic	joint_disorder | bone_disorder	False	False	False	FALSE	MEDIUM
MONDO:0012351	metabolic_disorder | genetic disorder is not on the list but zygodactyly type 1 is related to it, so I will categorize as one of the given options that it fits best	genetics_and_genomics | orthopaedic | pediatric	bone_disorder | joint_disorder	False	False	False	FALSE	LOW
MONDO:0043988	autoimmune_diseases|inflammatory_disease	neurology|dermatology	immune_disorder | skin_disorder	True	False	False	TRUE	MEDIUM
MONDO:0004759	mental_health_disorder|neurodegenerative_disease	neurology | psychiatry	reproductive_system_disorder|other	False	False	False	FALSE	NONE
MONDO:0018586	autoimmune_diseases|metabolic_disorder|inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | endocrine_disorder	False	False	False	TRUE	MEDIUM
MONDO:0008691	metabolic_disorder|inflammatory_disease|autoimmune_diseases	endocrinology | pediatrics | nephrology	liver_disorder | endocrine_disorder	False	False	False	FALSE	LOW
MONDO:0011973	metabolic_disorder | anemia	pediatric | endocrinology | genetics_and_genomics | nutrition	kidney_disorder | liver_disorder	False	False	False	TRUE	LOW
MONDO:0032854	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | neurology | pediatric	eye_disorder | brain_disorder | muscle_disorder | joint_disorder | skin_disorder	False	False	False	FALSE	HIGH
MONDO:0019949	neurodegenerative_disease | metabolic_disorder | autoimmune_diseases	neurology | genetics_and_genomics	muscle_disorder|bone_disorder	False	False	False	FALSE	HIGH
MONDO:0017279	neurodegenerative_disease|young_onset_parkinson_disease	neurology | genetics_and_genomics	brain_disorder | muscle_disorder	False	False	False	TRUE	HIGH
MONDO:0005744	cancer | adrenal_gland_disease | other | inflammatory_disease	pediatric | oncology	reproductive_system_disorder | other	False	True	False	TRUE	HIGH
MONDO:0007921	metabolic_disorder | inflammatory_disease | autoimmune_diseases	dermatology | genetics_and_genomics | pulmonology	liver_disorder | skin_disorder	False	False	False	FALSE	MEDIUM
MONDO:0020502	inflammatory_disease | autoimmune_diseases	pediatric | hematology | hepatology	liver_disorder | immune_disorder	True	False	False	TRUE	HIGH
MONDO:0800412	metabolic_disorder|adrenal_gland_disease	genetics_and_genomics | endocrinology | pediatric | orthopaedic	endocrine_disorder | growth_disorder | bone_disorder	False	False	False	FALSE	HIGH
MONDO:0010219	metabolic_disorder | neurodegenerative_disease	pediatric | genetics_and_genomics | hematology | other	joint_disorder | muscle_disorder	False	False	False	FALSE	MEDIUM
MONDO:0957786	autoimmune_diseases | inflammatory_disease | metabolic_disorder	allergy_and_immunology | pulmonology | pediatric | immunology	immune_disorder | lung_disorder	True	False	False	FALSE	HIGH
MONDO:0000948	metabolic_disorder | autoimmune_diseases | inflammatory_disease	ophthalmology | pediatric	eye_disorder|skin_disorder|other	False	False	False	TRUE	MEDIUM
MONDO:0016354	neurodegenerative_disease | cancer | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | immune_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0800314	metabolic_disorder | cancer | inflammatory_disease | autoimmune_diseases	genetics_and_genomics | dermatology | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	False	False	False	FALSE	HIGH
MONDO:0800313	cancer | metabolic_disorder | autoimmune_diseases | inflammatory_disease	genetics_and_genomics | dermatology | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	False	False	False	TRUE	VERY HIGH
MONDO:0008690	cancer | metabolic_disorder	dermatology | genetics_and_genomics | pediatric | oncology	immune_disorder | skin_disorder	False	False	False	FALSE	MEDIUM
MONDO:0010214	cancer | genetic disorder	genetics_and_genomics | dermatology	skin_disorder | immune_disorder | eye_disorder	True	False	False	TRUE	MEDIUM
MONDO:0010216	neurodegenerative_disease|cancer	dermatology | genetics_and_genomics | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0010215	cancer | genetic disorder | DNA repair disorder | inherited disease	dermatology | genetics_and_genomics | oncology	immune_disorder | skin_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0010213	cancer | autoimmune_diseases	dermatology | genetics_and_genomics | oncology	eye_disorder | skin_disorder	False	False	False	FALSE	HIGH
MONDO:0010212	cancer | genetic disorder	genetics_and_genomics | dermatology | oncology	skin_disorder | eye_disorder | immune_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0010211	cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer	dermatology | genetics_and_genomics | oncology	skin_disorder | immune_disorder | eye_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0012531	cancer | genetic disorder | autoimmune_diseases	dermatology | genetics_and_genomics | oncology | pediatric	immune_disorder skin_disorder	False	False	False	TRUE	VERY HIGH
MONDO:0010210	cancer | autoimmune_diseases | inflammatory_disease	genetics_and_genomics | dermatology	skin_disorder | eye_disorder | immune_disorder	False	False	False	TRUE	VERY HIGH
MONDO:0019600	cancer | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | immune_disorder	False	False	False	FALSE	VERY HIGH
MONDO:0004718	autoimmune_diseases | inflammatory_disease | cancer	dermatology | ophthalmology	eye_disorder | skin_disorder	False	False	False	FALSE	MEDIUM
MONDO:0015535	autoimmune_diseases | inflammatory_disease	dermatology | other	skin_disorder | immune_disorder | liver_disorder	False	False	False	FALSE	LOW
MONDO:0027091	autoimmune_diseases|inflammatory_disease	otolaryngology | dermatology	ear_disorder | lymphatic_disorder	True	False	False	FALSE	MEDIUM
MONDO:0007022	autoimmune_diseases|inflammatory_disease	renal medicine | urology	kidney_disorder | urinary_tract_disorder	True	False	False	TRUE	HIGH
MONDO:0004875	inflammatory_disease | autoimmune_diseases | cancer	gastroenterology | hepatology | pediatrics	liver_disorder | biliary_disorder | upper_gastrointestinal_disorder	False	False	False	FALSE	MEDIUM
MONDO:0024617	cancer | inflammatory_disease	dermatology | pulmonology | oncology	blood_bone_marrow_disorder|skin_disorder	False	False	False	FALSE	LOW
MONDO:0011346	metabolic_disorder | kidney_disease	renal medicine | genetics_and_genomics	kidney_disorder | urinary_tract_disorder	False	False	False	FALSE	HIGH
MONDO:0010209	metabolic_disorder | kidney_disease	genetics_and_genomics | renal medicine	kidney_disorder | urinary_tract_disorder	False	False	False	FALSE	HIGH
MONDO:0010208	metabolic_disorder | skin_condition	dermatology|genetics_and_genomics	skin_disorder | liver_disorder	False	False	False	FALSE	HIGH
MONDO:0015622	inflammatory_disease | wound_infection | other	dermatology | wound myiasis is a type of infection so also consider: | infectious diseases, however this option is not listed, leaving dermatology as the most fitting category.	skin_disorder|nose_disorder	True	False	False	TRUE	MEDIUM
MONDO:0015803	neurodegenerative_disease|inflammatory_disease	neurology | otolaryngology | pediatric	muscle_disorder | nervous_system_disorder	True	False	False	TRUE	HIGH
MONDO:0011501	metabolic_disorder | skeletal_dysplasia	genetics_and_genomics|pediatric|rheumatology|orthopaedic	bone_disorder|skeletal_dysplasia|teeth_disorder	False	False	False	FALSE	HIGH
MONDO:0014492	metabolic_disorder|autoimmune_diseases	dermatology | genetics_and_genomics	skin_disorder | joint_disorder | muscle_disorder	False	False	False	FALSE	MEDIUM
MONDO:0010207	metabolic_disorder | neurodegenerative_disease | autoimmune_diseases	dermatology | genetics_and_genomics | pediatric | otolaryngology	ear_disorder | skin_disorder | other	False	False	False	FALSE	MEDIUM
MONDO:0014765	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | dermatology	skin_disorder | hair_disorder | genetic_disorder	False	False	False	FALSE	LOW
MONDO:0800312	metabolic_disorder | autoimmune_diseases	dermatology | genetics_and_genomics | pediatric | other	skin_disorder | hair_disorder | genetic_disorder | Autosomal Recessive Disorder	False	False	False	TRUE	MEDIUM
MONDO:0019311	neurocutaneous_disease | congenital_disease | genetic_disorder | skin_condition | tumor	dermatology | genetics_and_genomics	skin_disorder | vascular_disorder	False	False	False	FALSE	LOW
MONDO:0957307	metabolic_disorder | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics | pediatric | other	skin_disorder | hair_disorder | bone_disorder | immune_disorder	False	False	False	FALSE	MEDIUM
MONDO:0018018	neurodegenerative_disease|metabolic_disorder	neurology | genetics_and_genomics	muscle_disorder | heart_disorder	False	False	False	TRUE	HIGH
MONDO:0019440	neurodegenerative_disease|metabolic_disorder	genetics_and_genomics|neurology	brain_disorder | vascular_disorder	False	False	False	FALSE	HIGH
MONDO:0010757	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	neurology | psychiatry | otolaryngology	spinal_disorder | brain_disorder	False	False	False	FALSE	LOW
MONDO:0014346	neurocutaneous_syndrome | skin_condition	dermatology | pediatric	skin_disorder|skin_disorder	False	False	False	FALSE	LOW
MONDO:0008676	neurocutaneous_disease | skin_condition | tumor	dermatology | genetics_and_genomics	skin_disorder | skin_disorder	False	False	False	FALSE	LOW
MONDO:0018269	| autoimmune_diseases | inflammatory_disease | anemia	hematology | genetics_and_genomics	blood_bone_marrow_disorder | vascular_disorder	False	False	False	FALSE	MEDIUM
MONDO:0001827	| inflammatory_disease | anemia | autoimmune_diseases	dermatology | urology	kidney_disorder | urinary_tract_disorder | skin_disorder	True	False	False	TRUE	LOW
MONDO:0017918	neurodegenerative_disease|mental_health_disorder|metabolic_disorder	neurology | genetics_and_genomics | pediatric | psychiatry	brain_disorder | spinal_disorder | intellectual_disability_syndrome	False	False	False	FALSE	VERY HIGH
MONDO:0010199	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | dermatology | pediatric	bone_disorder | skin_disorder	False	False	False	FALSE	HIGH
MONDO:0016447	autoimmune_diseases|inflammatory_disease	dermatology | otolaryngology	skin_disorder | lymphatic_disorder	False	False	False	FALSE	LOW
MONDO:0010197	neurodegenerative_disease | metabolic_disorder | autoimmune_diseases	genetics_and_genomics | pediatric	eye_disorder | ear_disorder | throat_disorder	False	False	False	FALSE	LOW
MONDO:0005417	neurodegenerative_disease | inflammatory_disease | autoimmune_diseases	neurology | ophthalmology	eye_disorder|veterinary_disorder	False	False	False	TRUE	HIGH
MONDO:0024183	metabolic_disorder | cardiovascular_disorder	cardiology | endocrinology	endocrine_disorder|lower_gastrointestinal_disorder|upper_gastrointestinal_disorder	True	False	False	TRUE	MEDIUM
MONDO:0019380	neurodegenerative_disease | inflammatory_disease | autoimmune_diseases	neurology | pediatric | veterinary is implied but not listed	brain_disorder | spinal_disorder | other	True	False	False	FALSE	HIGH
MONDO:0016976	cancer | adrenal_gland_disease	oncology|endocrinology	endocrine_disorder | lung_disorder	False	True	False	FALSE	HIGH
MONDO:0971140	cancer | adrenal_gland_disease | inflammatory_disease | autoimmune_diseases | allergy | metabolic_disorder | cardiovascular_disorder | neurodegenerative_disease | mental_health_disorder | anemia | other	oncology|cardiothoracic|pulmonology	lung_disorder | pleura_disorder	False	False	False	FALSE	MEDIUM
MONDO:0005103	cancer | cancer	oncology|orthopaedic	muscle_disorder|soft_tissue_disorder	False	True	False	TRUE	MEDIUM
MONDO:0017292	cancer | adrenal_gland_disease	oncology | pulmonology	lung_disorder|reproductive_system_disorder	False	True	False	FALSE	MEDIUM
MONDO:0043077	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	neurology | genetics_and_genomics | endocrinology	eye_disorder | liver_disorder	False	False	False	FALSE	HIGH
MONDO:0003433	cancer | adrenal_gland_disease	| urology | oncology	kidney_disorder | liver_disorder	False	False	False	FALSE	LOW
MONDO:0022007	"metabolic_disorder|water_intoxication can also be caused by a variety of factors including kidney disease which is related to the category: metabolic_disorder 

corrected answer:
metabolic_disorder|inflammatory_disease"	neurology | renal medicine	kidney_disorder | urinary_tract_disorder	False	False	False	FALSE	MEDIUM
MONDO:0019077	cancer | autoimmune_diseases | inflammatory_disease	dermatology | oncology	skin_disorder | blood_bone_marrow_disorder | immune_disorder	False	False	False	FALSE	LOW
MONDO:0020649	cancer | inflammatory_disease | autoimmune_diseases	dermatology | urology | oncology	reproductive_system_disorder|skin_disorder	False	True	False	TRUE	HIGH
MONDO:0035473	autoimmune_diseases|lymphedema|inflammatory_disease	dermatology|immunology|pediatric|obstetrics_and_gynecology	immune_disorder | lymphatic_disorder | skin_disorder	True	False	False	FALSE	HIGH
MONDO:0032579	metabolic_disorder | neurodegenerative_disease	pediatric | genetics_and_genomics	bone_disorder | joint_disorder | spinal_disorder	False	False	True	FALSE	HIGH
MONDO:0042963	metabolic_disorder | autoimmune_diseases	hematology | hepatology	lower_gastrointestinal_disorder | liver_disorder	False	False	False	FALSE	MEDIUM
MONDO:0008669	autoimmune_diseases|inflammatory_disease|allergy	| allergy_and_immunology | obstetrics_and_gynecology | urology	reproductive_system_disorder | immune_disorder | urinary_tract_disorder	False	False	False	TRUE	MEDIUM
MONDO:0019370	autoimmune_diseases | inflammatory_disease	obstetrics_and_gynecology | dermatology | genetics_and_genomics | allergy_and_immunology	reproductive_system_disorder | skin_disorder | joint_disorder | urinary_tract_disorder	False	False	False	FALSE	MEDIUM
MONDO:0006014	inflammatory_disease | autoimmune_diseases	obstetrics_and_gynecology | dermatology	reproductive_system_disorder | skin_disorder	True	False	False	TRUE	MEDIUM
MONDO:0021722	inflammatory_disease | autoimmune_diseases	obstetrics_and_gynecology|neurology|urology	reproductive_system_disorder | other	False	False	False	FALSE	HIGH
