category_class	label	definition	synonyms	subsets	crossreferences	txgnn	medical_specialization	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_QALY_lost
MONDO:0017545	zygodactyly type 4		syndactyly type 1, Castilla type; SD1d; syndactyly type 1d; Zygodactyly, Castilla type; SD1, Castilla type	mondo:nord_rare; mondo:ordo_subtype_of_a_disorder; mondo:gard_rare; mondo:rare	MEDGEN:1843119; UMLS:C5679981; GARD:21216; Orphanet:295193; icd11.foundation:1391914407	metabolic_disorder | genetic disorder	genetics_and_genomics | orthopaedic	bone_disorder|joint_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0017544	zygodactyly type 3		SD1, Montagu type; syndactyly type 1, Montagu type; syndactyly type 1c; Zygodactyly, Montagu type; SD1c	mondo:nord_rare; mondo:ordo_subtype_of_a_disorder; mondo:otar; mondo:gard_rare; mondo:rare	icd11.foundation:1831534806; Orphanet:295191; UMLS:C5679983; GARD:21215; MEDGEN:1843229	metabolic_disorder|neurodegenerative_disease|autoimmune_diseases	genetics_and_genomics | orthopaedic	bone_disorder|joint_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0017543	zygodactyly type 2		SD1, Lueken type; syndactyly type 1, Lueken type; Zygodactyly, Lueken type; syndactyly type 1b; SD1b	mondo:ordo_subtype_of_a_disorder; mondo:otar; mondo:gard_rare; mondo:rare; mondo:nord_rare	Orphanet:295189; UMLS:C5679982; GARD:21214; icd11.foundation:1092417894; MEDGEN:1842290	autoimmune_diseases | inflammatory_disease | anemia	genetics_and_genomics | orthopaedic	joint_disorder | bone_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0012351	zygodactyly type 1		syndactyly type 1a; SD1, Weidenreich type; Zygodactyly, Weidenreich type; SD1a; syndactyly type 1, Weidenreich type; zygodactyly type 1	mondo:gard_rare; mondo:rare; mondo:nord_rare; mondo:ordo_subtype_of_a_disorder	MESH:C565223; icd11.foundation:1671375617; OMIM:609815; Orphanet:295187; UMLS:C1853294; DOID:0111820; MEDGEN:377870; GARD:17357	metabolic_disorder | genetic disorder is not on the list but zygodactyly type 1 is related to it, so I will categorize as one of the given options that it fits best	genetics_and_genomics | orthopaedic | pediatric	bone_disorder | joint_disorder	FALSE	FALSE	FALSE	FALSE	LOW
MONDO:0043988	zoster sine herpete	Herpes zoster but without eruption of vesicles. Patients exhibit the characteristic pain minus the skin rash, sometimes making diagnosis difficult.	zoster sine herpete		UMLS:C1135841; MESH:D031368; MEDGEN:253902; SCTID:449783002	autoimmune_diseases|inflammatory_disease	neurology|dermatology	immune_disorder | skin_disorder	TRUE	FALSE	FALSE	TRUE	MEDIUM
MONDO:0004759	zoophilia		zoophilia; bestiality		MEDGEN:508916; SCTID:81463002; DOID:9336; UMLS:C0152186; ICD9:302.1	mental_health_disorder|neurodegenerative_disease	neurology | psychiatry	reproductive_system_disorder|other	FALSE	FALSE	FALSE	FALSE	NONE
MONDO:0018586	zinc-responsive necrolytic acral erythema		necrolytic acral erythema; NAE	mondo:ordo_clinical_situation; mondo:orphanet_rare; mondo:gard_rare; mondo:rare; mondo:nord_rare; mondo:ordo_disorder	MEDGEN:1613901; SCTID:762543009; UMLS:C4546437; GARD:21825; Orphanet:439196	autoimmune_diseases|metabolic_disorder|inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | endocrine_disorder	FALSE	FALSE	FALSE	TRUE	MEDIUM
MONDO:0008691	zinc, elevated plasma		zinc, elevated plasma		UMLS:C1860228; MEDGEN:349756; OMIM:194470	metabolic_disorder|inflammatory_disease|autoimmune_diseases	endocrinology | pediatrics | nephrology	liver_disorder | endocrine_disorder	FALSE	FALSE	FALSE	FALSE	LOW
MONDO:0011973	zinc deficiency, transient neonatal		zinc deficiency, transient neonatal	mondo:otar	MESH:C564286; MEDGEN:330858; OMIM:608118; UMLS:C1842486	metabolic_disorder | anemia	pediatric | endocrinology | genetics_and_genomics | nutrition	kidney_disorder | liver_disorder	FALSE	FALSE	FALSE	TRUE	LOW
MONDO:0032854	zimmermann-laband syndrome 3			mondo:gard_rare; mondo:nord_rare; mondo:rare	GARD:16371; MEDGEN:1684740; OMIM:618658; UMLS:C5231447	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | neurology | pediatric	eye_disorder | brain_disorder | muscle_disorder | joint_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0019949	zebra body myopathy			mondo:otar; mondo:nord_rare; mondo:gard_rare; mondo:orphanet_rare; mondo:rare; mondo:ordo_disorder	icd11.foundation:1699813614; Orphanet:97240; ICD9:359.89; GARD:19354; UMLS:C0270969; MEDGEN:543080; SCTID:34513009	neurodegenerative_disease | metabolic_disorder | autoimmune_diseases	neurology | genetics_and_genomics	muscle_disorder|bone_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0017279	young-onset Parkinson disease	A form of Parkinson disease (PD) characterized by an age of onset between 21-45 years, rigidity, painful cramps followed by tremor, bradykinesia, dystonia, gait complaints and falls, and other non-motor symptoms. A slow disease progression and a more pronounced response to dopaminergic therapy are also observed in most YOPD forms.	YOPD; early-onset Parkinson disease	mondo:nord_rare; mondo:orphanet_rare; mondo:ordo_disorder; mondo:gard_rare; mondo:rare; mondo:otar	MEDGEN:907947; SCTID:715345007; UMLS:C4275179; DOID:0060894; Orphanet:2828; GARD:16610	neurodegenerative_disease|young_onset_parkinson_disease	neurology | genetics_and_genomics	brain_disorder | muscle_disorder	FALSE	FALSE	FALSE	TRUE	HIGH
