category_class	txgnn	medical_specialization	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_QALY_lost
MONDO:0017545	metabolic_disorder | autoimmune_diseases	genetics_and_genomics | orthopaedic	joint_disorder | bone_disorder | other	False	False	False	false	medium
MONDO:0017544	metabolic disorder | autoimmune_diseases | inflammatory_disease	orthopaedic | genetics_and_genomics | pediatric	joint_disorder|bone_disorder	False	False	False	false	medium
MONDO:0017543	metabolic_disorder | autoimmune_diseases	genetics_and_genomics | orthopaedic	joint_disorder|bone_disorder|spinal_disorder	False	False	False	false	medium
MONDO:0012351	metabolic_disorder | genetic disorder	genetics_and_genomics | orthopaedic	joint_disorder | bone_disorder	False	False	False	false	low
MONDO:0043988	autoimmune_diseases|neurodegenerative_disease|inflammatory_disease	dermatology | neurology	skin_disorder | immune_disorder | nerve_disorder	True	False	False	true	medium
MONDO:0004759	mental_health_disorder | neurodegenerative_disease	psychiatry | psychology	reproductive_system_disorder|mental_health_disorder|neurological_disorder	False	False	False	false	none
MONDO:0018586	autoimmune_diseases|metabolic_disorder	dermatology | other	skin_disorder|endocrine_disorder|immune_disorder	False	False	False	true	medium
MONDO:0008691	metabolic_disorder | autoimmune_diseases | inflammatory_disease	hematology | endocrinology	liver_disorder | endocrine_disorder	False	False	False	false	low
MONDO:0011973	metabolic_disorder|neonatal_disease	pediatric | endocrinology | gastroenterology | neonatology	endocrine_disorder | lower_gastrointestinal_disorder	False	False	False	true	medium
MONDO:0032854	neurodegenerative_disease | metabolic_disorder	genetics_and_genomics | neurology	brain_disorder | muscle_disorder	False	False	False	false	high
MONDO:0019949	neurodegenerative_disease | myopathy	neurology|genetics_and_genomics	muscle_disorder|spinal_disorder	False	False	False	false	high
MONDO:0017279	neurodegenerative_disease | young-onset parkinson disease is also a subtype of parkinson's disease, but since parkinson's falls under neurodegenerative diseases, this category will suffice	neurology | genetics_and_genomics	brain_disorder | muscle_disorder | spinal_disorder	False	False	False	true	high
MONDO:0005744	cancer | tumor	pediatric | oncology	reproductive_system_disorder | upper_gastrointestinal_disorder | liver_disorder	False	True	False	true	high
MONDO:0007921	metabolic_disorder|inflammatory_disease	dermatology | genetics_and_genomics	liver_disorder | skin_disorder	False	False	False	false	medium
MONDO:0020502	inflammatory_disease | autoimmune_diseases	pediatric | infectious diseases	liver_disorder|lymphatic_disorder|immune_disorder	True	False	False	true	high
MONDO:0800412	metabolic disorder|adrenal_gland_disease	genetics_and_genomics | endocrinology | pediatric	endocrine_disorder | bone_disorder	False	False	False	false	medium
MONDO:0010219	metabolic_disorder|neurodegenerative_disease	genetics_and_genomics | pediatric | medical genetics	"blood_bone_marrow_disorder | lysosomal_storage_disease | 

 Corrected answer without the extra category
blood_bone_marrow_disorder |"	False	False	False	false	low
MONDO:0957786	autoimmune_diseases | inflammatory_disease	pediatric | pulmonology | immunology	immune_disorder | lung_disorder | immune_disorder	True	False	False	true	high
MONDO:0000948	adrenal_gland_disease | metabolic_disorder | autoimmune_diseases	| ophthalmology | pediatric	eye_disorder|nose_disorder	False	False	False	true	medium
MONDO:0016354	metabolic disorder | cancer | autoimmune diseases | inflammatory disease	dermatology | genetics_and_genomics	immune_disorder | skin_disorder	False	False	False	false	very high
MONDO:0800314	metabolic_disorder | cancer | inherited_disorder	dermatology | genetics_and_genomics	eye_disorder skin_disorder	False	False	False	false	very high
MONDO:0800313	metabolic_disorder|genetic_disease|cancer	dermatology | genetics_and_genomics	immune_disorder | skin_disorder	False	False	False	false	very high
MONDO:0008690	metabolic_disorder|cancer	dermatology | genetics_and_genomics | pediatric | oncology	skin_disorder | eye_disorder	False	False	False	false	medium
MONDO:0010214	metabolic_disorder | cancer | autoimmune_diseases	dermatology | genetics_and_genomics	"immune_disorder 
skin_disorder"	False	True	False	false	medium
MONDO:0010216	neurodegenerative_disease | cancer | inflammatory_disease | autoimmune_diseases | allergy	dermatology | genetics_and_genomics | oncology	skin_disorder | immune_disorder	False	False	False	true	high
MONDO:0010215	cancer | autoimmune_diseases	dermatology | genetics_and_genomics | pediatric	skin_disorder | eye_disorder | immune_disorder	False	False	False	true	high
MONDO:0010213	neurodegenerative_disease | cancer | inflammatory_disease	dermatology | genetics_and_genomics | oncology	eye_disorder | skin_disorder | immune_disorder	False	False	False	false	high
MONDO:0010212	cancer | genetic disorder	genetics_and_genomics | dermatology	eye_disorder | skin_disorder	False	False	False	true	very high
MONDO:0010211	cancer | autoimmune_diseases | genetic_diseases (Note: I added genetic_diseases as it is a more fitting category for Xeroderma pigmentosum group C, which is a rare genetic disorder)	genetics_and_genomics | dermatology | oncology	eye_disorder | skin_disorder | immune_disorder	False	False	False	true	very high
MONDO:0012531	neurodegenerative_disease | cancer | inflammatory_disease	genetics_and_genomics | dermatology	eye_disorder | skin_disorder | immune_disorder	False	False	False	false	very high
MONDO:0010210	metabolic disorder | cancer	dermatology|genetics_and_genomics|oncology	eye_disorder | skin_disorder | immune_disorder	False	False	False	false	very high
MONDO:0019600	cancer | genetic disorder	dermatology | genetics_and_genomics | oncology	skin_disorder | immune_disorder | eye_disorder	False	False	False	false	very high
MONDO:0004718	autoimmune_diseases | cancer	dermatology | ophthalmology	eye_disorder | skin_disorder	False	False	False	false	medium
MONDO:0015535	metabolic_disorder | autoimmune_diseases | inflammatory_disease	dermatology | pediatrics	immune_disorder | skin_disorder	False	False	False	false	medium
MONDO:0027091	autoimmune_diseases|inflammatory_disease|cancer	otolaryngology | dermatology	skin_disorder|salivary_gland_disorder	True	False	False	false	medium
MONDO:0007022	autoimmune_diseases | inflammatory_disease	| renal medicine | urology	kidney_disorder|immune_disorder|urinary_tract_disorder	True	False	False	true	high
MONDO:0004875	inflammatory_disease | autoimmune_diseases	gastroenterology | hepatology	liver_disorder | upper_gastrointestinal_disorder | biliary_disorder	False	False	False	true	high
MONDO:0024617	cancer | inflammatory_disease | autoimmune_diseases	dermatology | pulmonology	blood_bone_marrow_disorder | skin_disorder	False	False	False	false	low
MONDO:0011346	metabolic_disorder | kidney_disease	renal medicine | genetics_and_genomics	kidney_disorder | urinary_tract_disorder	False	False	False	false	high
MONDO:0010209	metabolic_disorder | adrenal_gland_disease	genetics_and_genomics | renal medicine	kidney_disorder | urinary_tract_disorder	False	False	False	false	medium
MONDO:0010208	metabolic_disorder | neurodegenerative_disease | autoimmune_diseases	dermatology | genetics_and_genomics	skin_disorder | liver_disorder | other	False	False	False	false	high
MONDO:0015622	inflammatory_disease | wound_infection	dermatology | infectious diseases	skin_disorder|nose_disorder	True	False	False	true	high
MONDO:0015803	neurodegenerative_disease|adrenal_gland_disease	neurology | otolaryngology	muscle_disorder | nerve_disorder | lower_gastrointestinal_disorder	True	False	False	true	high
MONDO:0011501	metabolic disorder | skeletal dysplasia | adrenal_gland_disease	genetics_and_genomics | orthopaedic | pediatric	bone_disorder|skeletal_dysplasia|teeth_disorder	False	False	False	false	high
MONDO:0014492	metabolic_disorder | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics | pediatric | dermatology | other	skin_disorder|muscle_disorder|joint_disorder	False	False	False	false	medium
MONDO:0010207	metabolic_disorder | anemia | autoimmune_diseases	dermatology | genetics_and_genomics | pediatric	ear_disorder | skin_disorder | upper_gastrointestinal_disorder	False	False	False	false	medium
MONDO:0014765	metabolic_disorder | genetic_disease	pediatric | genetics_and_genomics	skin_disorder | hair_disorder	False	False	False	false	low
MONDO:0800312	metabolic_disorder | anemia	dermatology | genetics_and_genomics | pediatric	skin_disorder | hair_disorder	False	False	False	true	medium
MONDO:0019311	neurodegenerative_disease | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder	False	False	False	false	low
MONDO:0957307	metabolic_disorder | autoimmune_diseases	dermatology | genetics_and_genomics	skin_disorder | hair_disorder | joint_disorder	False	False	False	false	high
MONDO:0018018	neurodegenerative_disease | metabolic_disorder | adrenal_gland_disease	neurology|genetics_and_genomics	brain_disorder | muscle_disorder | heart_disorder	False	False	False	true	high
MONDO:0019440	neurodegenerative_disease | amyloidosis	neurology | genetics_and_genomics	brain_disorder|immune_disorder	False	False	False	false	high
