category_class	label	harrisons_view	matrix_txgnn_grouping	mondo_top_grouping
MONDO:0000004	adrenocortical insufficiency	endocrine_system_disorder	endocrine_system_disorder	endocrine_system_disorder
MONDO:0000005	alopecia, isolated	hereditary_disease	other	integumentary_system_disorder|hereditary_disease
MONDO:0000009	inherited bleeding disorder, platelet-type	hereditary_disease	other	hematologic_disorder|hereditary_disease
MONDO:0000014	colorblindness, partial	other	psychiatric_disorder	nervous_system_disorder|psychiatric_disorder|disorder_of_visual_system
MONDO:0000015	classic complement early component deficiency	hereditary_disease	other	hereditary_disease|immune_system_disorder
MONDO:0000022	nocturnal enuresis	other	psychiatric_disorder	psychiatric_disorder
MONDO:0000023	infantile liver failure	endocrine_system_disorder|hereditary_disease	endocrine_system_disorder	hereditary_disease|endocrine_system_disorder|digestive_system_disorder
MONDO:0000030	sleep-related hypermotor epilepsy	hereditary_disease	other	hereditary_disease|nervous_system_disorder
MONDO:0000032	febrile seizures, familial	hereditary_disease	other	hereditary_disease
MONDO:0000044	hereditary hypophosphatemic rickets	hereditary_disease	other	hereditary_disease|musculoskeletal_system_disorder
MONDO:0000045	hypothyroidism, congenital, nongoitrous	endocrine_system_disorder|hereditary_disease	endocrine_system_disorder	hereditary_disease|endocrine_system_disorder
MONDO:0000050	isolated congenital growth hormone deficiency	endocrine_system_disorder|hereditary_disease	endocrine_system_disorder	nervous_system_disorder|hereditary_disease|reproductive_system_disorder|endocrine_system_disorder
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism	disorder_of_development_or_morphogenesis	other	disorder_of_development_or_morphogenesis|nervous_system_disorder
MONDO:0000062	isolated microphthalmia	hereditary_disease	other	hereditary_disease|disorder_of_orbital_region|disorder_of_visual_system
MONDO:0000066	mitochondrial complex deficiency	disorder_of_development_or_morphogenesis|metabolic_disease|hereditary_disease	metabolic_disease	mitochondrial_disease|disorder_of_development_or_morphogenesis|hereditary_disease|metabolic_disease
MONDO:0000078	acrocephalopolysyndactyly	syndromic_disease|hereditary_disease|disorder_of_development_or_morphogenesis	other	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|syndromic_disease|hereditary_disease
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	hereditary_disease|disorder_of_development_or_morphogenesis	other	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder|hereditary_disease
MONDO:0000082	pelvic organ prolapse	other	other	reproductive_system_disorder
MONDO:0000087	polymicrogyria	other	other	nervous_system_disorder
MONDO:0000088	precocious puberty	endocrine_system_disorder|disorder_of_development_or_morphogenesis	endocrine_system_disorder	disorder_of_development_or_morphogenesis|endocrine_system_disorder|reproductive_system_disorder
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	hereditary_disease|metabolic_disease|disorder_of_development_or_morphogenesis	metabolic_disease	musculoskeletal_system_disorder|mitochondrial_disease|disorder_of_development_or_morphogenesis|nervous_system_disorder|hereditary_disease|metabolic_disease
MONDO:0000104	anemia, hypochromic microcytic with iron overload	hereditary_disease	anemia	hematologic_disorder|hereditary_disease
MONDO:0000105	anemia, nonspherocytic hemolytic	hereditary_disease	anemia	hematologic_disorder|hereditary_disease
MONDO:0000107	auriculocondylar syndrome	hereditary_disease	other	hereditary_disease
