category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0016739	yolk sac tumor of central nervous system	A malignant germ cell tumor of the central nervous system composed of primitive-appearing epithelial cells - putatively representing yolk sac endoderm - set in a loose, variably cellular, and often conspicuously myxoid matrix, resembling extra-embryonic mesoblast. Eosinophilic hyaline globules immunoreactive for AFP are a diagnostic feature. (WHO)	yolk Sac tumor of the CNS; yolk Sac tumor of the central nervous system; intracranial endodermal sinus tumour; intracranial endodermal sinus tumor; yolk Sac tumour of CNS; endodermal sinus tumour of central nervous system; intracranial yolk sac tumor; yolk Sac tumour of the central nervous system; yolk Sac tumour of the CNS; yolk Sac tumor of CNS; endodermal sinus tumor of central nervous system; intracranial yolk sac tumour; yolk Sac tumor of central nervous system; central nervous system yolk Sac tumor; central nervous system yolk Sac tumour; yolk sac tumor of CNS; yolk sac tumour of CNS; endodermal sinus tumor of CNS; CNS yolk Sac tumour; endodermal sinus tumour of CNS; yolk Sac tumour of central nervous system; CNS yolk Sac tumor	mondo:rare; mondo:gard_rare; mondo:ordo_subtype_of_a_disorder; mondo:nord_rare	GARD:20733; Orphanet:252006; UMLS:C1337040; MEDGEN:234492; NCIT:C7011
MONDO:0006019	yaws	An endemic, infectious, nonvenereal disease in humans that presents mainly in children younger than 15 years. The disease occurs primarily in warm, humid, tropical areas of Africa, Asia, South America, and Oceania, among poor rural populations where conditions of overcrowding and poor sanitation prevail. Infection with Treponema pertenue, a subspecies of Treponema pallidum, causes the disease.	Treponema pallidum subsp. pertenue disease or disorder; polypapilloma tropicum; frambesia; thymosis; frambesia tropica; Treponema pallidum subsp. pertenue infectious disease; frambosie; Bouba; Treponema pallidum subsp. pertenue caused disease or disorder	mondo:rare; mondo:nord_rare; mondo:gard_rare	GARD:7913; NCIT:C41353; NORD:1872; MESH:D015001; ICD9:102; DOID:10371; SCTID:70647001; MEDGEN:12186; ICD9:102.7; ICD9:102.9; UMLS:C0043388; ICD10CM:A66
MONDO:0002615	xanthomatosis	A condition marked by the development of widespread xanthomas, yellow tumor-like structures filled with lipid deposits. Xanthomas can be found in a variety of tissues including the skin; tendons; joints of knees and elbows. Xanthomatosis is associated with disturbance of lipid metabolism and formation of foam cells.	xanthomatosis (disease); xanthelasmatosis; xanthomatosis	mondo:otar; mondo:rare; mondo:gard_rare	MEDGEN:21939; UMLS:C0043325; DOID:3345; SCTID:63103006; HP:0000991; MESH:D014973
MONDO:0005236	xanthoma	A non-neoplastic disorder characterized by a localized collection of histiocytes containing lipid. Xanthomas usually occur in the skin and subcutaneous tissues, but occasionally they may involve the deep soft tissues.	xanthoma; xanthoma (disease)	mondo:otar	HP:0001114; MEDGEN:86216; EFO:0003075; NCIT:C4071; UMLS:C0302314
MONDO:0000721	xanthinuria	A metabolic metabolic disorder characterized by excess urinary excretion of the purine base xanthine.		mondo:otar	ICD9:277.2; NANDO:2200588; MEDGEN:450997; UMLS:C0220988; SCTID:190919008
MONDO:0000599	writing disorder	A learning disability that involves impaired written language ability such as impairments in handwriting, spelling, organization of ideas, and composition.			MEDGEN:1843493; UMLS:C0860614; DOID:0060047
MONDO:0003688	well differentiated papillary mesothelioma	A localized or multifocal mesothelioma arising from the peritoneum and less often the pleura. Cases arising from the peritoneum predominantly occur in women. It is characterized by the formation of papillae, covered by a single layer of blunt mesothelial cells. Mitotic figures are not present. There is no evidence of severe cytologic atypia. It has a relatively favorable clinical outcome, compared to malignant mesothelioma.	well-differentiated papillary tumor of mesothelium; well differentiated papillary mesothelioma; benign/Intermediate mesothelioma; well-differentiated papillary neoplasm of mesothelium; well-differentiated mesothelial papillary tumour; WDPM; well-differentiated papillary tumour of the mesothelium; well-differentiated papillary tumor of the mesothelium; well-differentiated mesothelial papillary tumor; well-differentiated mesothelial papillary neoplasm; well-differentiated papillary neoplasm of the mesothelium; well-differentiated papillary tumour of mesothelium	mondo:otar	UMLS:C1337012; ICDO:9052/1; MEDGEN:234487; NCIT:C7635; DOID:5884
MONDO:0007019	vulvovaginitis	An inflammatory pathologic process that affects the vulva and the vagina.	Vulvo-vaginitis	mondo:otar	DOID:2273; MEDGEN:12129; MESH:D014848; UMLS:C0042998; MedDRA:10047794; NCIT:C35131; SCTID:53277000; EFO:1001240
MONDO:0007018	vulvitis	Inflammation of the vulva. It is characterized by pruritus and painful urination.	mammalian vulva inflammation; inflammation of mammalian vulva	mondo:otar	DOID:3901; SCTID:63144007; MESH:D014847; UMLS:C0042996; EFO:1001239; MedDRA:10047780; MEDGEN:22690
MONDO:0002195	vulvar squamous neoplasm	A benign, precancerous, or malignant neoplasm that arises from the squamous epithelium of the vulva. Representative examples include vestibular papilloma, intraepithelial neoplasia, and squamous cell carcinoma.	mammalian vulva squamous cell neoplasm; vulvar squamous tumor; vulvar squamous neoplasm; vulvar squamous tumour	mondo:otar	DOID:2072; NCIT:C40283; MEDGEN:276998; UMLS:C1520097
MONDO:0006622	vulvar seborrheic keratosis	A benign squamous neoplasm that arises from the vulva. It is characterized by the proliferation of the basal cells in the squamous epithelium, acanthosis, hyperkeratosis, and cysts formation.	mammalian vulva seborrheic keratosis; seborrheic keratosis of the vulva; seborrheic keratosis of vulva; seborrheic keratosis of mammalian vulva	mondo:nord_rare; mondo:rare; mondo:gard_rare	DOID:6944; MEDGEN:237055; NCIT:C6375; UMLS:C1336981
MONDO:0056816	vulvar neuroendocrine carcinoma	A neuroendocrine carcinoma that arises from the vulva. This category includes small cell and large cell neuroendocrine carcinoma. Most small cell neuroendocrine carcinomas of the vulva are Merkel cell carcinomas.	vulvar high grade Neuroendocrine neoplasm; vulvar Neuroendocrine cancer; mammalian vulva neuroendocrine carcinoma; vulvar Neuroendocrine carcinoma; neuroendocrine carcinoma of mammalian vulva; vulvar high grade Neuroendocrine carcinoma	mondo:rare; mondo:gard_rare	NCIT:C128243; UMLS:C4288002; MEDGEN:925534
MONDO:0021049	vulvar neoplasm	A benign or malignant neoplasm that affects the vulva. Representative examples include Bartholin gland adenoma, vulvar nodular hidradenoma, vulvar carcinoma, and vulvar melanoma.	vulvar tumor; neoplasm of the vulva; vulva tumour; neoplasm of mammalian vulva; mammalian vulva neoplasm (disease); vulvar tumour; vulva neoplasm; neoplasm of vulva; tumour of the vulva; mammalian vulva neoplasm; vulvar neoplasm; tumour of mammalian vulva; mammalian vulva tumour; tumor of vulva; mammalian vulva tumor; tumor of mammalian vulva; vulval neoplasm; tumor of the vulva; tumour of vulva; vulva tumor	mondo:otar	MEDGEN:22689; ICD9:239.5; SCTID:126922007; UMLS:C0042995; NCIT:C3443
