ID	LABEL	SUBSET	CONTRIBUTOR	COMMENT
ID		AI oboInOwl:inSubset SPLIT=|	AI dc:contributor SPLIT=|	
MONDO:0002022	disorder of orbital region	obo:mondo#matrix_excluded	https://orcid.org/0000-0002-7356-1779	This is a clear grouping class.
MONDO:0005027	epilepsy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0005365	hearing loss disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0021094	immunodeficiency disease	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0037858	inherited fatty acid metabolism disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0024237	inherited neurodegenerative disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0001071	intellectual disability	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0005240	kidney disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0044970	mitochondrial disease	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0015967	monogenic diabetes	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0005395	movement disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0000508	syndromic intellectual disability	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-4142-7153	
MONDO:0000509	non-syndromic intellectual disability	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-4142-7153	
MONDO:0016226	specific language disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-4142-7153	
MONDO:0016106	progressive muscular dystrophy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640|https://orcid.org/0000-0002-4142-7153	
MONDO:1010030	pediatric high-grade glioma	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1030005	mosaic SMO syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0000400	mixed cerebral palsy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1030008	mitral valve insufficiency	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1010096	clinically amyopathic dermatomyositis	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0971116	borderline vascular tumor	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0971115	benign vascular tumor	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1030015	acquired porphyria	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040038	TTLL5-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040049	TTC8-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040055	PRPH2-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040056	PROM1-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040052	PROM1-related recessive retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040053	PROM1-related dominant retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0700277	POLR3B-related disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0700276	POLR3A-related disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0700278	POLR1C-related disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040034	PDE6G-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040028	PDE6C-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1030003	Mycoplasmoides infection	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040050	MKKS-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040046	LZTFL1-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040035	LRIT3-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040037	IMPG1-related recessive retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040036	IMPG1-related dominant retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040051	IMPDH1-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040040	HGSNAT-related retinopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040054	DHDDS-CDG	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040042	BBS7-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040047	BBS5-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040044	BBS4-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040048	BBS2-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040045	BBS12-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040043	BBS1-related ciliopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0021450	benign neoplasm of heart	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0005379	neurotic disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0011490	diffuse panbronchiolitis	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0005379	neurotic disorder	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0011490	diffuse panbronchiolitis	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0021450	benign neoplasm of heart	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0100576	hereditary generalized epilepsy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0100575	genetic generalized epilepsy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040022	linkeropathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040001	TP63-related ectodermal dysplasia spectrum with limb and orofacial malformations	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1040023	NDUFB11-related disorders	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:1010097	DHDDS-related syndrome	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0000384	bladder benign neoplasm	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	
MONDO:0001520	kleptomania	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	excluding kleptomania as it is a subtype of mania with a different phenotypic expression only and does not have a unique drug-targetable pathophysiology
MONDO:0016022	early myoclonic encephalopathy	obo:mondo#matrix_excluded	https://orcid.org/0000-0003-2955-4640	excluding kleptomania as it is a subtype of mania with a different phenotypic expression only and does not have a unique drug-targetable pathophysiology
MONDO:0021517	benign neoplasm of trachea	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0021513	benign neoplasm of tonsil	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0021476	benign neoplasm of tongue	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0021455	benign neoplasm of neck	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0022293	vascular disorder of penis	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0005621	vascular brain injury	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0004192	urethra cancer	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
MONDO:0002642	trochlear nerve neoplasm	obo:mondo#matrix_excluded|obo:mondo#matrix_grouping	https://orcid.org/0000-0003-2955-4640	https://github.com/everycure-org/matrix-disease-list/issues/52
